Date,Location,ShortName,LongName,Census2019,Administered_Dose2,Series_Complete_18Plus,Series_Complete_Pop_Pct
2021-03-01,NM,NMA,New Mexico,2096829,244734,,
2021-03-01,NV,NVA,Nevada,3080156,240683,,
2021-03-01,NY,NYA,New York State,19453561,1485601,,
2021-03-01,OH,OHA,Ohio,11689100,923721,,
2021-03-01,OK,OKA,Oklahoma,3956971,401951,,
2021-03-01,OR,ORA,Oregon,4217737,367112,,
2021-03-01,PA,PAA,Pennsylvania,12801989,868979,,
2021-03-01,PR,PRA,Puerto Rico,3193694,196380,,
2021-03-01,RI,RIA,Rhode Island,1059361,78482,,
2021-03-01,RP,RPA,Republic of Palau,17907,3099,,
2021-03-01,SC,SCA,South Carolina,5148714,349123,,
2021-03-01,SD,SDA,South Dakota,884659,95767,,
2021-03-01,TN,TNA,Tennessee,6829174,475312,,
2021-03-01,TX,TXA,Texas,28995881,1885470,,
2021-03-01,UT,UTA,Utah,3205958,177561,,
2021-03-01,VA,VAA,Virginia,8535519,737028,,
2021-03-01,VA2,VA2,Veterans Health,0,822571,,
2021-03-01,VI,VIA,Virgin Islands,104680,6531,,
2021-03-01,VT,VTA,Vermont,623989,58041,,
2021-03-01,WA,WAA,Washington,7614893,618834,,
2021-03-01,WI,WIA,Wisconsin,5822434,515405,,
2021-03-01,WV,WVA,West Virginia,1792147,210642,,
2021-03-01,WY,WYA,Wyoming,578759,55305,,
2021-03-01,US,USA,United States,331996199,25466405,,
2021-03-01,LTC,LTC,Long Term Care,,,,
2021-03-02,AK,AKA,Alaska,731545,101000,,
2021-03-02,AL,ALA,Alabama,4903185,322346,,
2021-03-02,AR,ARA,Arkansas,3017804,236154,,
2021-03-02,AS,ASA,American Samoa,55689,8099,,
2021-03-02,AZ,AZA,Arizona,7278717,587451,,
2021-03-02,BP2,BP2,Bureau of Prisons,0,23532,,
2021-03-02,CA,CAA,California,39512223,2905711,,
2021-03-02,CO,COA,Colorado,5758736,484907,,
2021-03-02,CT,CTA,Connecticut,3565287,306894,,
2021-03-02,DC,DCA,District of Columbia,705749,68955,,
2021-03-02,DD2,DD2,Dept of Defense,0,304656,,
2021-03-02,DE,DEA,Delaware,973764,75946,,
2021-03-02,FL,FLA,Florida,21477737,1799607,,
2021-03-02,FM,FMA,Federated States of Micronesia,103643,4921,,
2021-03-02,GA,GAA,Georgia,10617423,750985,,
2021-03-02,GU,GUA,Guam,165768,20371,,
2021-03-02,HI,HIA,Hawaii,1415872,142855,,
2021-03-02,IA,IAA,Iowa,3155070,187234,,
2021-03-02,ID,IDA,Idaho,1787065,133917,,
2021-03-02,IH2,IH2,Indian Health Svc,2082813,179169,,
2021-03-02,IL,ILA,Illinois,12671821,854802,,
2021-03-02,IN,INA,Indiana,6732219,586200,,
2021-03-02,KS,KSA,Kansas,2913314,203731,,
2021-03-02,KY,KYA,Kentucky,4467673,354275,,
2021-03-02,LA,LAA,Louisiana,4648794,387514,,
2021-03-02,MA,MAA,Massachusetts,6892503,543969,,
2021-03-02,MD,MDA,Maryland,6045680,495873,,
2021-03-02,ME,MEA,Maine,1344212,106447,,
2021-03-02,MH,MHA,Marshall Islands,58413,2459,,
2021-03-02,MI,MIA,Michigan,9986857,856892,,
2021-03-02,MN,MNA,Minnesota,5639632,474714,,
2021-03-02,MO,MOA,Missouri,6137428,466460,,
2021-03-02,MP,MPA,Northern Mariana Islands,56882,7806,,
2021-03-02,MS,MSA,Mississippi,2976149,220081,,
2021-03-02,MT,MTA,Montana,1068778,94538,,
2021-03-02,NC,NCA,North Carolina,10488084,894708,,
2021-03-02,ND,NDA,North Dakota,762062,82398,,
2021-03-02,NE,NEA,Nebraska,1934408,164570,,
2021-03-02,NH,NHA,New Hampshire,1359711,97565,,
2021-03-02,NJ,NJA,New Jersey,8882190,725092,,
2021-03-02,NM,NMA,New Mexico,2096829,249716,,
2021-03-02,NV,NVA,Nevada,3080156,244622,,
2021-03-02,NY,NYA,New York State,19453561,1522346,,
2021-03-02,OH,OHA,Ohio,11689100,951847,,
2021-03-02,OK,OKA,Oklahoma,3956971,403289,,
2021-03-02,OR,ORA,Oregon,4217737,372950,,
2021-03-02,PA,PAA,Pennsylvania,12801989,885866,,
2021-03-02,PR,PRA,Puerto Rico,3193694,196388,,
2021-03-02,RI,RIA,Rhode Island,1059361,80162,,
2021-03-02,RP,RPA,Republic of Palau,17907,3099,,
2021-03-02,SC,SCA,South Carolina,5148714,351018,,
2021-03-02,SD,SDA,South Dakota,884659,95864,,
2021-03-02,TN,TNA,Tennessee,6829174,477719,,
2021-03-02,TX,TXA,Texas,28995881,2066013,,
2021-03-02,UT,UTA,Utah,3205958,190682,,
2021-03-02,VA,VAA,Virginia,8535519,748805,,
